frame;label;measured;error;;;;;;
0;(334, 305);(331, 306);3.16227766;;;;;;
1;(334, 305);(333, 304);1.414213562;;;;;;
2;(334, 304);(331, 305);3.16227766;;Total Frames;Total Measurements;Failed;% Failed;Average Error
3;(333, 304);(333, 304);0;;2000;1672;328;0.164;1.655925578
4;(333, 303);None;None;;;;;;
5;(333, 303);None;None;;;;;;
6;(333, 303);None;None;;;;;;
7;(333, 303);None;None;;;;;;
8;(333, 302);(330, 304);3.605551275;;;;;;
9;(333, 302);(330, 304);3.605551275;;;;;;
10;(333, 302);(332, 302);1;;;;;;
11;(333, 302);(332, 302);1;;;;;;
12;(333, 302);(332, 302);1;;;;;;
13;(332, 302);(332, 302);0;;;;;;
14;(332, 302);(329, 304);3.605551275;;;;;;
15;(332, 302);(331, 302);1;;;;;;
16;(332, 302);(331, 302);1;;;;;;
17;(332, 302);(329, 303);3.16227766;;;;;;
18;(331, 302);(331, 302);0;;;;;;
19;(331, 302);(331, 302);0;;;;;;
20;(331, 302);(328, 303);3.16227766;;;;;;
21;(331, 302);(328, 302);3;;;;;;
22;(331, 301);None;None;;;;;;
23;(330, 301);(330, 301);0;;;;;;
24;(330, 300);(330, 300);0;;;;;;
25;(330, 300);(330, 300);0;;;;;;
26;(330, 300);(329, 299);1.414213562;;;;;;
27;(330, 299);(329, 299);1;;;;;;
28;(329, 299);None;None;;;;;;
29;(329, 298);(329, 299);1;;;;;;
30;(329, 298);(328, 298);1;;;;;;
31;(329, 298);(326, 300);3.605551275;;;;;;
32;(329, 298);(328, 298);1;;;;;;
33;(328, 298);None;None;;;;;;
34;(328, 298);(328, 298);0;;;;;;
35;(328, 298);(328, 298);0;;;;;;
36;(328, 298);(327, 298);1;;;;;;
37;(328, 298);(327, 298);1;;;;;;
38;(328, 297);(327, 298);1.414213562;;;;;;
39;(328, 297);None;None;;;;;;
40;(328, 297);(327, 298);1.414213562;;;;;;
41;(328, 296);(326, 297);2.236067977;;;;;;
42;(328, 296);(326, 297);2.236067977;;;;;;
43;(327, 295);(326, 296);1.414213562;;;;;;
44;(327, 295);(326, 295);1;;;;;;
45;(327, 294);(327, 294);0;;;;;;
46;(327, 293);(326, 294);1.414213562;;;;;;
47;(327, 293);(326, 293);1;;;;;;
48;(326, 292);(326, 293);1;;;;;;
49;(326, 292);(323, 293);3.16227766;;;;;;
50;(326, 291);(325, 291);1;;;;;;
51;(326, 290);None;None;;;;;;
52;(326, 290);(325, 291);1.414213562;;;;;;
53;(326, 289);(325, 290);1.414213562;;;;;;
54;(326, 289);(325, 289);1;;;;;;
55;(326, 288);(325, 289);1.414213562;;;;;;
56;(326, 288);None;None;;;;;;
57;(326, 288);(325, 288);1;;;;;;
58;(326, 287);(325, 287);1;;;;;;
59;(326, 287);None;None;;;;;;
60;(326, 287);(325, 287);1;;;;;;
61;(326, 284);(322, 288);5.656854249;;;;;;
62;(326, 281);(326, 285);4;;;;;;
63;(327, 278);(327, 279);1;;;;;;
64;(327, 275);(327, 274);1;;;;;;
65;(327, 272);(328, 273);1.414213562;;;;;;
66;(327, 271);(327, 272);1;;;;;;
67;(327, 271);None;None;;;;;;
68;(328, 270);(327, 271);1.414213562;;;;;;
69;(328, 270);(327, 270);1;;;;;;
70;(328, 269);(327, 269);1;;;;;;
71;(328, 268);None;None;;;;;;
72;(328, 267);None;None;;;;;;
73;(328, 267);(328, 267);0;;;;;;
74;(328, 266);(327, 266);1;;;;;;
75;(328, 265);(327, 265);1;;;;;;
76;(328, 264);None;None;;;;;;
77;(328, 263);(328, 263);0;;;;;;
78;(328, 262);(328, 262);0;;;;;;
79;(328, 261);(328, 261);0;;;;;;
80;(328, 260);(328, 261);1;;;;;;
81;(328, 259);(328, 260);1;;;;;;
82;(328, 258);(328, 259);1;;;;;;
83;(328, 258);(328, 258);0;;;;;;
84;(328, 257);None;None;;;;;;
85;(328, 256);(329, 257);1.414213562;;;;;;
86;(329, 255);(329, 256);1;;;;;;
87;(329, 254);None;None;;;;;;
88;(330, 254);(329, 254);1;;;;;;
89;(330, 253);(329, 254);1.414213562;;;;;;
90;(331, 252);(330, 253);1.414213562;;;;;;
91;(331, 251);(330, 252);1.414213562;;;;;;
92;(331, 251);(330, 251);1;;;;;;
93;(331, 250);(330, 250);1;;;;;;
94;(331, 250);(330, 249);1.414213562;;;;;;
95;(331, 249);(330, 249);1;;;;;;
96;(331, 248);(330, 248);1;;;;;;
97;(331, 247);(330, 247);1;;;;;;
98;(332, 247);(330, 246);2.236067977;;;;;;
99;(332, 246);(330, 245);2.236067977;;;;;;
100;(332, 245);(331, 245);1;;;;;;
101;(332, 244);(330, 244);2;;;;;;
102;(332, 244);(330, 243);2.236067977;;;;;;
103;(332, 243);(330, 243);2;;;;;;
104;(332, 243);(330, 243);2;;;;;;
105;(332, 242);(330, 242);2;;;;;;
106;(332, 242);(330, 242);2;;;;;;
107;(332, 241);(330, 241);2;;;;;;
108;(331, 241);(330, 241);1;;;;;;
109;(331, 240);(330, 240);1;;;;;;
110;(331, 240);(330, 240);1;;;;;;
111;(332, 239);(331, 240);1.414213562;;;;;;
112;(333, 239);(331, 239);2;;;;;;
113;(335, 238);(333, 238);2;;;;;;
114;(336, 238);(335, 237);1.414213562;;;;;;
115;(337, 237);(336, 236);1.414213562;;;;;;
116;(338, 235);(336, 236);2.236067977;;;;;;
117;(338, 236);(336, 236);2;;;;;;
118;(339, 236);(336, 236);3;;;;;;
119;(338, 236);None;None;;;;;;
120;(339, 236);(336, 236);3;;;;;;
121;(340, 238);None;None;;;;;;
122;(336, 236);None;None;;;;;;
123;(337, 237);(336, 236);1.414213562;;;;;;
124;(337, 237);(336, 237);1;;;;;;
125;(337, 237);None;None;;;;;;
126;(337, 237);(336, 237);1;;;;;;
127;(337, 237);(337, 237);0;;;;;;
128;(337, 238);(337, 237);1;;;;;;
129;(337, 238);(337, 238);0;;;;;;
130;(337, 238);(337, 238);0;;;;;;
131;(337, 239);(337, 239);0;;;;;;
132;(337, 239);(337, 239);0;;;;;;
133;(338, 240);(337, 240);1;;;;;;
134;(338, 240);(337, 240);1;;;;;;
135;(338, 241);None;None;;;;;;
136;(338, 241);(337, 241);1;;;;;;
137;(338, 241);(338, 241);0;;;;;;
138;(339, 242);(338, 242);1;;;;;;
139;(339, 242);(338, 242);1;;;;;;
140;(339, 242);(338, 242);1;;;;;;
141;(339, 242);(339, 243);1;;;;;;
142;(339, 243);(339, 243);0;;;;;;
143;(339, 243);(339, 243);0;;;;;;
144;(339, 244);(339, 243);1;;;;;;
145;(339, 244);(340, 243);1.414213562;;;;;;
146;(339, 244);(340, 244);1;;;;;;
147;(339, 244);(341, 244);2;;;;;;
148;(339, 243);None;None;;;;;;
149;(339, 243);(342, 243);3;;;;;;
150;(339, 243);(342, 243);3;;;;;;
151;(341, 244);None;None;;;;;;
152;(344, 245);None;None;;;;;;
153;(346, 246);None;None;;;;;;
154;(349, 247);None;None;;;;;;
155;(351, 248);None;None;;;;;;
156;(352, 249);None;None;;;;;;
157;(353, 249);None;None;;;;;;
158;(355, 250);None;None;;;;;;
159;(356, 250);None;None;;;;;;
160;(357, 251);None;None;;;;;;
161;(358, 251);None;None;;;;;;
