frame,label,measured,error
0,"(334, 305)","(333, 305)",1.0
1,"(334, 305)","(333, 304)",1.4142135623730951
2,"(334, 304)","(333, 304)",1.0
3,"(333, 304)","(333, 304)",0.0
4,"(333, 303)","(333, 304)",1.0
5,"(333, 303)","(333, 304)",1.0
6,"(333, 303)","(333, 304)",1.0
7,"(333, 303)","(333, 304)",1.0
8,"(333, 302)","(332, 304)",2.23606797749979
9,"(333, 302)","(332, 303)",1.4142135623730951
10,"(333, 302)","(333, 302)",0.0
11,"(333, 302)","(332, 303)",1.4142135623730951
12,"(333, 302)","(332, 303)",1.4142135623730951
13,"(332, 302)","(332, 303)",1.0
14,"(332, 302)","(332, 302)",0.0
15,"(332, 302)","(332, 302)",0.0
16,"(332, 302)","(331, 302)",1.0
17,"(332, 302)","(331, 302)",1.0
18,"(331, 302)","(331, 302)",0.0
19,"(331, 302)","(331, 302)",0.0
20,"(331, 302)",None,None
21,"(331, 302)","(330, 302)",1.0
22,"(331, 301)",None,None
23,"(330, 301)","(482, 436)",203.2953516438583
24,"(330, 300)",None,None
25,"(330, 300)",None,None
26,"(330, 300)",None,None
27,"(330, 299)","(330, 299)",0.0
28,"(329, 299)","(330, 299)",1.0
29,"(329, 298)","(329, 298)",0.0
30,"(329, 298)",None,None
31,"(329, 298)",None,None
32,"(329, 298)",None,None
33,"(328, 298)","(333, 299)",5.0990195135927845
34,"(328, 298)",None,None
35,"(328, 298)",None,None
36,"(328, 298)",None,None
37,"(328, 298)",None,None
38,"(328, 297)",None,None
39,"(328, 297)",None,None
40,"(328, 297)",None,None
41,"(328, 296)","(327, 297)",1.4142135623730951
42,"(328, 296)","(329, 297)",1.4142135623730951
43,"(327, 295)",None,None
44,"(327, 295)",None,None
45,"(327, 294)",None,None
46,"(327, 293)","(325, 294)",2.23606797749979
47,"(327, 293)",None,None
48,"(326, 292)",None,None
49,"(326, 292)",None,None
50,"(326, 291)","(327, 292)",1.4142135623730951
51,"(326, 290)","(328, 291)",2.23606797749979
52,"(326, 290)","(327, 291)",1.4142135623730951
53,"(326, 289)",None,None
54,"(326, 289)","(327, 290)",1.4142135623730951
55,"(326, 288)",None,None
56,"(326, 288)","(327, 289)",1.4142135623730951
57,"(326, 288)","(327, 288)",1.0
58,"(326, 287)",None,None
59,"(326, 287)","(327, 287)",1.0
60,"(326, 287)","(328, 287)",2.0
61,"(326, 284)",None,None
62,"(326, 281)","(328, 285)",4.47213595499958
63,"(327, 278)","(329, 279)",2.23606797749979
64,"(327, 275)","(326, 275)",1.0
65,"(327, 272)","(327, 273)",1.0
66,"(327, 271)",None,None
67,"(327, 271)","(134, 117)",246.9109151090733
68,"(328, 270)","(134, 114)",248.9417602572939
69,"(328, 270)","(133, 112)",250.9760944791356
70,"(328, 269)","(133, 109)",252.23996511258878
71,"(328, 268)",None,None
72,"(328, 267)","(133, 102)",255.44079548889601
73,"(328, 267)",None,None
74,"(328, 266)","(328, 266)",0.0
75,"(328, 265)","(328, 265)",0.0
76,"(328, 264)","(327, 265)",1.4142135623730951
77,"(328, 263)","(131, 94)",259.5573154430443
78,"(328, 262)","(329, 263)",1.4142135623730951
79,"(328, 261)","(328, 262)",1.0
80,"(328, 260)","(329, 261)",1.4142135623730951
81,"(328, 259)","(328, 261)",2.0
82,"(328, 258)",None,None
83,"(328, 258)",None,None
84,"(328, 257)","(329, 258)",1.4142135623730951
85,"(328, 256)","(329, 257)",1.4142135623730951
86,"(329, 255)","(329, 256)",1.0
87,"(329, 254)","(330, 255)",1.4142135623730951
88,"(330, 254)","(330, 255)",1.0
89,"(330, 253)","(332, 255)",2.8284271247461903
90,"(331, 252)",None,None
91,"(331, 251)",None,None
92,"(331, 251)",None,None
93,"(331, 250)",None,None
94,"(331, 250)","(330, 250)",1.0
95,"(331, 249)",None,None
96,"(331, 248)","(331, 248)",0.0
97,"(331, 247)",None,None
98,"(332, 247)","(493, 383)",210.75341041131458
99,"(332, 246)",None,None
100,"(332, 245)","(330, 246)",2.23606797749979
101,"(332, 244)","(331, 244)",1.0
102,"(332, 244)","(330, 244)",2.0
103,"(332, 243)","(331, 244)",1.4142135623730951
104,"(332, 243)","(330, 243)",2.0
105,"(332, 242)","(331, 242)",1.0
106,"(332, 242)","(331, 243)",1.4142135623730951
107,"(332, 241)","(331, 242)",1.4142135623730951
108,"(331, 241)",None,None
109,"(331, 240)",None,None
110,"(331, 240)",None,None
111,"(332, 239)","(493, 380)",214.0140182324513
112,"(333, 239)",None,None
113,"(335, 238)","(334, 238)",1.0
114,"(336, 238)","(336, 237)",1.0
115,"(337, 237)","(336, 237)",1.0
116,"(338, 235)",None,None
117,"(338, 236)","(336, 237)",2.23606797749979
118,"(339, 236)","(337, 237)",2.23606797749979
119,"(338, 236)","(336, 237)",2.23606797749979
120,"(339, 236)","(337, 237)",2.23606797749979
121,"(340, 238)","(337, 236)",3.605551275463989
122,"(336, 236)","(337, 236)",1.0
123,"(337, 237)","(337, 236)",1.0
124,"(337, 237)","(336, 237)",1.0
125,"(337, 237)","(337, 237)",0.0
126,"(337, 237)","(337, 238)",1.0
127,"(337, 237)","(337, 238)",1.0
128,"(337, 238)","(337, 238)",0.0
129,"(337, 238)","(337, 238)",0.0
130,"(337, 238)","(337, 239)",1.0
131,"(337, 239)","(337, 239)",0.0
132,"(337, 239)","(337, 239)",0.0
133,"(338, 240)","(493, 381)",209.53758612716717
134,"(338, 240)","(337, 241)",1.4142135623730951
135,"(338, 241)",None,None
136,"(338, 241)",None,None
137,"(338, 241)",None,None
138,"(339, 242)",None,None
139,"(339, 242)","(338, 243)",1.4142135623730951
140,"(339, 242)","(339, 243)",1.0
141,"(339, 242)","(339, 243)",1.0
142,"(339, 243)","(339, 243)",0.0
143,"(339, 243)","(339, 243)",0.0
144,"(339, 244)","(340, 244)",1.0
145,"(339, 244)","(340, 244)",1.0
146,"(339, 244)","(340, 244)",1.0
147,"(339, 244)","(341, 244)",2.0
148,"(339, 243)",None,None
149,"(339, 243)","(342, 244)",3.1622776601683795
150,"(339, 243)","(342, 244)",3.1622776601683795
151,"(341, 244)","(497, 411)",228.52789764052878
152,"(344, 245)",None,None
153,"(346, 246)","(344, 244)",2.8284271247461903
154,"(349, 247)",None,None
155,"(351, 248)",None,None
156,"(352, 249)",None,None
157,"(353, 249)",None,None
158,"(355, 250)",None,None
159,"(356, 250)",None,None
160,"(357, 251)",None,None
161,"(358, 251)",None,None
162,"(359, 251)",None,None
163,"(359, 252)",None,None
164,"(360, 252)",None,None
165,"(361, 252)",None,None
166,"(362, 252)",None,None
167,"(363, 253)",None,None
168,"(364, 253)",None,None
169,"(365, 254)",None,None
170,"(366, 254)","(492, 415)",204.44314613114327
171,"(367, 254)",None,None
172,"(368, 255)",None,None
173,"(368, 255)","(493, 414)",202.25231766286387
174,"(369, 256)",None,None
175,"(370, 256)",None,None
176,"(371, 256)",None,None
177,"(372, 257)",None,None
178,"(372, 257)",None,None
179,"(373, 258)",None,None
180,"(374, 258)",None,None
181,"(375, 259)",None,None
182,"(376, 260)",None,None
183,"(378, 260)",None,None
184,"(379, 261)",None,None
185,"(380, 262)",None,None
186,"(383, 265)",None,None
187,"(386, 268)",None,None
188,"(389, 271)",None,None
189,"(392, 274)",None,None
190,"(395, 277)",None,None
191,"(396, 278)",None,None
192,"(397, 278)",None,None
193,"(399, 279)",None,None
194,"(400, 279)",None,None
195,"(401, 280)",None,None
196,"(402, 280)",None,None
197,"(402, 281)",None,None
198,"(403, 281)",None,None
199,"(403, 282)",None,None
200,"(404, 282)","(486, 422)",162.24672569885655
201,"(405, 282)",None,None
202,"(406, 283)",None,None
203,"(407, 283)",None,None
204,"(408, 284)",None,None
205,"(409, 284)",None,None
206,"(409, 284)",None,None
207,"(410, 284)",None,None
208,"(410, 284)",None,None
209,"(411, 284)",None,None
210,"(411, 284)",None,None
211,"(411, 285)",None,None
212,"(411, 285)",None,None
213,"(412, 286)",None,None
214,"(412, 286)",None,None
215,"(412, 287)",None,None
216,"(412, 287)",None,None
217,"(413, 288)",None,None
218,"(413, 288)",None,None
219,"(414, 289)",None,None
220,"(414, 289)",None,None
221,"(414, 290)",None,None
222,"(414, 290)",None,None
223,"(415, 291)",None,None
224,"(415, 291)",None,None
225,"(416, 290)",None,None
226,"(416, 291)",None,None
227,"(416, 291)",None,None
228,"(417, 292)",None,None
229,"(417, 293)","(419, 311)",18.110770276274835
230,"(420, 294)","(421, 311)",17.029386365926403
231,"(421, 294)",None,None
232,"(421, 296)","(421, 312)",16.0
233,"(420, 295)","(421, 312)",17.029386365926403
234,"(421, 295)","(422, 312)",17.029386365926403
235,"(421, 296)","(422, 311)",15.033296378372908
236,"(421, 294)",None,None
237,"(420, 293)","(422, 312)",19.1049731745428
238,"(420, 295)","(421, 311)",16.0312195418814
239,"(421, 296)","(421, 311)",15.0
240,"(421, 294)","(421, 311)",17.0
241,"(420, 295)","(421, 311)",16.0312195418814
242,"(421, 294)","(421, 311)",17.0
243,"(420, 295)","(421, 312)",17.029386365926403
244,"(419, 296)","(421, 312)",16.1245154965971
245,"(420, 297)","(421, 312)",15.033296378372908
246,"(421, 296)","(421, 312)",16.0
247,"(420, 298)","(421, 313)",15.033296378372908
248,"(420, 298)",None,None
249,"(421, 298)",None,None
250,"(420, 297)",None,None
251,"(420, 299)",None,None
252,"(420, 297)","(420, 314)",17.0
253,"(420, 302)","(420, 314)",12.0
254,"(419, 301)",None,None
255,"(419, 300)","(419, 315)",15.0
256,"(419, 304)","(419, 316)",12.0
257,"(418, 304)","(419, 317)",13.038404810405298
258,"(419, 305)",None,None
259,"(420, 308)",None,None
260,"(420, 308)","(419, 319)",11.045361017187261
261,"(419, 306)","(418, 319)",13.038404810405298
262,"(420, 314)",None,None
263,"(420, 319)",None,None
264,"(419, 321)",None,None
265,"(418, 322)","(490, 432)",131.46862743635836
266,"(419, 322)",None,None
267,"(418, 325)","(490, 433)",129.79984591670362
268,"(419, 327)","(489, 433)",127.02755606560333
269,"(418, 326)",None,None
270,"(418, 326)","(489, 434)",129.24782396620841
271,"(417, 328)",None,None
272,"(417, 327)","(489, 435)",129.79984591670362
273,"(418, 329)","(489, 434)",126.75172582651489
274,"(416, 330)","(489, 434)",127.06297651164952
275,"(416, 329)","(489, 434)",127.88275880665071
276,"(415, 331)",None,None
277,"(416, 331)","(414, 335)",4.47213595499958
278,"(415, 332)","(414, 335)",3.1622776601683795
279,"(415, 331)","(488, 435)",127.06297651164952
280,"(415, 330)","(413, 336)",6.324555320336759
281,"(416, 334)","(413, 337)",4.242640687119285
282,"(413, 333)",None,None
283,"(413, 331)","(487, 434)",126.82665335015349
284,"(415, 333)",None,None
285,"(413, 333)","(486, 437)",127.06297651164952
286,"(413, 331)",None,None
287,"(414, 334)",None,None
288,"(413, 337)","(486, 439)",125.4312560727987
289,"(413, 336)","(411, 340)",4.47213595499958
290,"(412, 338)",None,None
291,"(413, 337)","(410, 340)",4.242640687119285
292,"(411, 340)","(411, 341)",1.0
293,"(411, 340)","(411, 341)",1.0
294,"(410, 340)","(410, 341)",1.0
295,"(410, 340)","(410, 341)",1.0
296,"(410, 340)","(485, 440)",125.0
297,"(409, 341)","(485, 439)",124.01612798341996
298,"(409, 341)","(409, 341)",0.0
299,"(408, 342)","(485, 439)",123.84667940643382
300,"(408, 342)",None,None
301,"(408, 341)","(408, 341)",0.0
302,"(407, 340)","(408, 337)",3.1622776601683795
303,"(407, 340)",None,None
304,"(406, 339)","(407, 342)",3.1622776601683795
305,"(406, 338)","(485, 439)",128.22636234409833
306,"(405, 337)",None,None
307,"(405, 336)","(485, 440)",131.20975573485381
308,"(404, 336)","(484, 439)",130.41855696180662
309,"(404, 335)","(485, 439)",131.82184947875675
310,"(403, 334)","(483, 438)",131.20975573485381
311,"(402, 332)","(483, 437)",132.61221663180206
312,"(401, 330)","(483, 436)",134.01492454200763
313,"(399, 328)","(483, 437)",137.6117727521886
314,"(398, 326)","(483, 436)",139.01438774457844
315,"(397, 324)","(482, 435)",139.8070098385628
316,"(397, 323)","(483, 435)",141.20906486483082
317,"(396, 323)","(484, 432)",140.089257261219
318,"(396, 322)","(482, 435)",142.00352108310554
319,"(395, 322)",None,None
320,"(395, 321)","(482, 435)",143.40502083260543
321,"(394, 321)",None,None
322,"(393, 320)","(483, 434)",145.24462124292245
323,"(393, 320)","(484, 432)",144.30869689661813
324,"(392, 319)","(483, 431)",144.30869689661813
325,"(391, 319)","(482, 434)",146.64924138910504
326,"(390, 318)","(483, 431)",146.3488981851247
327,"(389, 318)",None,None
328,"(389, 317)","(482, 430)",146.3488981851247
329,"(388, 317)","(483, 430)",147.6279106402309
330,"(387, 316)",None,None
331,"(386, 316)","(482, 430)",149.03690818049066
332,"(385, 315)",None,None
333,"(384, 315)",None,None
334,"(383, 314)","(483, 432)",154.67385040788247
335,"(382, 314)",None,None
336,"(381, 313)",None,None
337,"(380, 312)",None,None
338,"(378, 311)","(485, 430)",160.0312469488381
339,"(377, 310)",None,None
340,"(376, 309)",None,None
341,"(375, 308)",None,None
342,"(373, 307)",None,None
343,"(372, 306)","(485, 433)",169.9941175452845
344,"(370, 305)","(487, 432)",172.67889274604468
